sunlit times,,
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
22:37.0,22:55.2,18.232
40:30.2,40:48.4,18.169
22:34.0,22:52.2,18.201
40:24.4,40:42.5,18.137
22:31.0,22:49.2,18.17
40:18.5,40:36.7,18.106
22:28.1,22:46.2,18.14
40:12.8,40:30.8,18.076
22:25.1,22:43.2,18.11
40:07.0,40:25.0,18.046
22:22.2,22:40.3,18.081
40:01.3,40:19.3,18.017
22:19.3,22:37.4,18.052
39:55.6,40:13.6,17.988
22:16.5,22:34.5,18.023
39:50.0,40:07.9,17.96
22:13.6,22:31.6,17.995
39:44.4,40:02.3,17.933
22:10.9,22:28.8,17.967
39:38.9,39:56.8,17.906
22:08.1,22:26.1,17.94
39:33.4,39:51.3,17.879
22:05.5,22:23.4,17.912
39:28.1,39:45.9,17.85
22:02.8,22:20.7,17.885
39:22.7,39:40.6,17.828
22:00.2,22:18.1,17.859
39:17.5,39:35.3,17.799
21:57.7,22:15.5,17.833
39:12.3,39:30.1,17.775
21:55.2,22:13.0,17.807
39:07.2,39:24.9,17.754
21:52.8,22:10.5,17.782
39:02.1,39:19.9,17.73
21:50.4,22:08.1,17.757
38:57.2,39:14.9,17.704
21:48.0,22:05.8,17.732
38:52.3,39:09.9,17.681
21:45.7,22:03.4,17.708
38:47.4,39:05.1,17.658
21:43.5,22:01.2,17.684
38:42.6,39:00.3,17.636
21:41.3,21:59.0,17.66
38:37.9,38:55.6,17.617
21:39.1,21:56.8,17.637
38:33.3,38:50.9,17.595
21:37.0,21:54.6,17.615
38:28.7,38:46.3,17.571
21:34.9,21:52.5,17.592
38:24.2,38:41.7,17.553
21:32.9,21:50.5,17.57
38:19.7,38:37.2,17.532
21:30.9,21:48.4,17.549
38:15.2,38:32.7,17.512
21:28.9,21:46.4,17.528
38:10.8,38:28.3,17.488
21:26.9,21:44.4,17.507
38:06.4,38:23.9,17.472
21:24.9,21:42.4,17.487
38:02.1,38:19.5,17.449
21:22.9,21:40.4,17.467
37:57.8,38:15.2,17.433
21:21.0,21:38.4,17.448
37:53.5,38:10.9,17.411
21:19.0,21:36.5,17.429
37:49.2,38:06.6,17.392
21:17.1,21:34.5,17.41
37:45.0,38:02.4,17.376
21:15.2,21:32.6,17.391
37:40.8,37:58.2,17.358
21:13.2,21:30.6,17.373
37:36.6,37:54.0,17.34
21:11.3,21:28.7,17.355
37:32.5,37:49.8,17.319
21:09.4,21:26.7,17.338
37:28.4,37:45.7,17.304
21:07.5,21:24.8,17.32
37:24.3,37:41.6,17.287
21:05.6,21:22.9,17.303
37:20.3,37:37.5,17.274
21:03.7,21:21.0,17.286
37:16.2,37:33.5,17.25
21:01.8,21:19.0,17.27
37:12.2,37:29.5,17.234
20:59.9,21:17.1,17.253
37:08.3,37:25.5,17.217
20:58.0,21:15.2,17.237
37:04.3,37:21.5,17.201
20:56.1,21:13.3,17.217
37:00.3,37:17.5,17.188
20:54.1,21:11.3,17.205
36:56.4,37:13.6,17.172
20:52.2,21:09.4,17.189
36:52.5,37:09.6,17.156
20:50.2,21:07.4,17.173
36:48.5,37:05.6,17.14
20:48.2,21:05.4,17.158
36:44.5,37:01.7,17.125
20:46.2,21:03.3,17.142
36:40.6,36:57.7,17.113
20:44.1,21:01.2,17.127
36:36.6,36:53.7,17.097
20:42.0,20:59.1,17.113
36:32.5,36:49.6,17.08
20:39.8,20:56.9,17.103
36:28.5,36:45.6,17.065
20:37.5,20:54.6,17.087
36:24.4,36:41.5,17.053
20:35.3,20:52.3,17.07
36:20.3,36:37.3,17.036
20:32.9,20:50.0,17.06
36:16.2,36:33.2,17.022
20:30.5,20:47.6,17.043
36:12.0,36:29.0,17.007
20:28.1,20:45.1,17.033
36:07.9,36:24.9,16.991
20:25.6,20:42.6,17.017
36:03.7,36:20.7,16.979
20:23.1,20:40.1,17.003
35:59.6,36:16.5,16.964
20:20.6,20:37.6,16.99
35:55.4,36:12.3,16.952
20:18.0,20:35.0,16.977
35:51.2,36:08.2,16.938
20:15.4,20:32.4,16.964
35:47.1,36:04.0,16.928
20:12.8,20:29.7,16.952
35:42.9,35:59.8,16.909
20:10.1,20:27.1,16.938
35:38.7,35:55.6,16.898
20:07.4,20:24.4,16.927
35:34.5,35:51.4,16.882
20:04.7,20:21.6,16.912
35:30.4,35:47.2,16.869
20:01.9,20:18.8,16.899
,,
Eclipse times (ubmra),,
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
12:37.2,16:02.3,205.185
